,SalePrice,SqFt1stFloor,SqFtHalfFloor,SqFt2ndFloor,SqFtUpperFloor,SqFtTotLiving,SqFtTotBasement,SqFtFinBasement,SqFtGarageBasement,SqFtGarageAttached,DaylightBasement,SqFtOpenPorch,SqFtEnclosedPorch,SqFtDeck,BrickStone,Bedrooms,BathHalfCount,Bath3qtrCount,BathFullCount,YrBuilt,Longitude,Latitude,cluster
3877,410000,1620,0,0,0,1620,0,0,0,0,0,0,0,180,0,4,1,1,1,1942,-122.3367635,47.493585,3
3878,245000,1520,0,0,0,1520,0,0,0,440,0,0,0,0,0,3,1,0,1,1960,-122.2979987,47.2818875,3
3879,515000,710,0,1170,0,1880,0,0,0,420,0,60,0,0,0,4,1,0,2,2018,-122.2972296,47.4953147,4
3880,1300000,1340,800,0,0,2560,1340,420,0,360,0,160,0,0,0,4,1,0,2,1929,-122.367002,47.4503957,3
3881,700000,1460,0,0,0,1460,0,0,0,480,0,0,0,0,0,3,0,1,1,1969,-122.0974804,47.6350776,3
3882,435000,1380,0,0,0,1380,0,0,0,0,0,60,0,0,0,3,1,0,1,1949,-122.3366348,47.7303373,3
3883,343000,1130,0,0,0,1130,0,0,0,0,0,0,0,0,0,3,0,2,0,1953,-122.301514,47.4745148,3
3884,650000,1030,460,0,0,1490,1030,0,310,0,0,40,0,0,0,3,1,0,1,1947,-122.359187,47.7136971,3
3885,350000,1120,0,0,0,1120,0,0,0,0,0,0,0,0,0,3,0,0,1,1941,-122.3168629,47.527458,3
3886,300000,1460,0,0,0,1460,0,0,0,600,0,0,0,0,0,3,1,0,1,1968,-122.1710411,47.3689185,3
3887,512000,1190,0,940,0,2130,0,0,0,420,0,0,0,0,0,4,1,1,1,1980,-122.0914726,47.3228453,4
3888,732000,570,0,680,0,1510,590,260,330,0,1,140,0,0,0,3,0,2,1,2019,-122.3046767,47.6921092,1
3889,951000,1290,0,0,0,2090,1290,800,0,440,1,90,0,110,0,5,0,2,1,1961,-122.1185262,47.5837198,2
3890,395000,1350,640,0,0,1990,980,0,0,0,0,90,440,210,0,5,0,1,1,1943,-122.1131383,47.4978553,3
3891,495000,940,0,620,0,1560,910,0,240,0,0,140,0,0,0,3,1,0,1,1906,-122.2923017,47.5741437,3
3892,673900,940,0,0,0,1240,940,300,0,230,1,70,0,320,15,3,0,1,1,1947,-122.3939404,47.6572744,3
3893,797900,480,0,530,530,1540,0,0,0,0,0,60,0,270,0,3,0,1,1,2017,-122.3699113,47.66589,1
3894,460000,1350,0,0,0,1350,0,0,0,220,0,140,0,0,0,3,1,0,1,1955,-122.3393646,47.7729685,3
3895,1030000,2100,0,0,0,2100,0,0,0,510,0,0,0,0,0,4,0,1,1,1960,-122.1664131,47.6128901,3
3896,619000,520,0,340,0,1350,490,490,0,0,1,0,0,480,0,3,1,0,2,2017,-122.3877361,47.5416232,1
3897,420000,830,0,0,0,980,830,150,0,0,0,40,0,150,0,3,0,0,1,1943,-122.3136807,47.5613244,3
3898,880000,1180,0,840,0,2020,0,0,0,500,0,210,0,0,0,4,1,1,1,1964,-122.1385835,47.6218139,4
3899,326000,790,0,790,0,1580,0,0,0,310,0,0,0,0,0,4,1,0,1,1974,-122.1655713,47.4185754,3
3900,850000,1150,700,0,0,3000,1150,1150,0,0,0,200,0,0,0,6,0,0,3,1912,-122.2964988,47.6701693,2
3901,900000,970,0,760,0,1930,970,200,0,0,0,80,80,0,0,3,1,1,1,1908,-122.3104296,47.668052,3
3902,460000,750,0,0,0,750,750,0,180,0,0,110,0,0,0,2,0,0,1,1943,-122.3299272,47.6884528,3
3903,1274000,2260,0,0,0,4520,2260,2260,0,500,1,0,0,540,0,5,1,2,1,1964,-122.218151,47.5358192,2
